"offense_type","cleared","dm_offender_age","dm_offender_sex","dm_offender_race","dm_offender_hispanic_latino","dm_victim_age","dm_victim_sex","dm_victim_race","dm_victim_hispanic_latino","dm_victim_residency","injury_severity","weapon_type","relationship","arrest","biased","arrest_type"
simp_assault,not_cleared,"32-42",F,white,yes,"25-31",M,white,yes,R,none,object,BF/GF,Yes,false,Taken INTO Custody
simp_assault,not_cleared,>42,M,white,no,>42,F,white,no,R,none,object,Spouse,No,false,No Arrest
intimidation,not_cleared,>42,F,white,no,>42,M,white,no,R,none,none,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"18-24",M,white,yes,"18-24",F,unknown,unknown,N,none,object,BF/GF,Yes,false,Taken INTO Custody
intimidation,not_cleared,>42,M,white,no,>42,F,white,no,R,none,none,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,white,no,"32-42",F,white,no,R,none,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,>42,M,black,no,>42,F,white,no,R,none,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,white,no,"25-31",F,other,no,R,minor,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,"18-24",F,white,no,"18-24",M,white,no,N,none,object,BF/GF,No,false,No Arrest
simp_assault,uncooperative,"32-42",F,white,no,"32-42",M,white,yes,R,none,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"18-24",M,black,no,"18-24",F,unknown,unknown,R,minor,object,BF/GF,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"25-31",M,white,no,"18-24",F,white,no,R,none,object,Spouse,No,false,No Arrest
rape,not_cleared,>42,M,white,no,>42,F,white,no,R,none,object,Spouse,No,false,No Arrest
simp_assault,declined,"25-31",M,white,no,"25-31",F,white,yes,R,minor,object,BF/GF,No,false,No Arrest
intimidation,not_cleared,>42,M,black,no,>42,F,white,yes,R,none,none,Spouse,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,white,yes,"32-42",F,white,yes,R,none,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,>42,M,white,yes,"32-42",F,white,yes,R,none,object,BF/GF,No,false,No Arrest
simp_assault,uncooperative,>42,F,white,no,>42,M,white,no,R,none,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,<18,F,white,no,<18,F,white,yes,R,none,object,BF/GF-gay,No,false,No Arrest
intimidation,not_cleared,"32-42",M,white,no,"32-42",F,white,no,R,none,none,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"18-24",M,black,no,"25-31",F,white,no,R,none,object,BF/GF,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"25-31",F,white,yes,"32-42",M,white,yes,R,none,object,BF/GF,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"32-42",M,white,no,"32-42",F,white,no,R,none,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"18-24",M,white,no,"18-24",F,white,no,R,none,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,white,no,"25-31",F,white,no,N,minor,object,Spouse,No,false,No Arrest
intimidation,not_cleared,>42,M,white,no,>42,F,white,no,R,none,none,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,white,no,"25-31",F,white,no,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,white,yes,"25-31",F,white,yes,R,minor,object,BF/GF,No,false,No Arrest
